COD_ESC;NOME_ESCOLA;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO;EJA FUNDAMENTAL_AI;EJA ENSINO MÉDIO;EJA FUNDAMENTAL_AF
38210;SALVADOR MOYA;0;0;0;0;341;76;0;0;0
39299;IBRAHIM NOBRE;0;10;0;0;0;470;0;0;0
41014;GUIOMAR NOVAES;0;12;0;503;0;0;0;0;0
44374;JOAO ERNESTO FAGGIN DOUTOR;0;0;0;0;335;358;0;0;0
902500;FRANCISCO ALVES MOURAO PROFESSOR;0;21;0;0;835;747;0;0;0
904824;YOLANDA BERNARDINI ROBERT PROFESSORA;0;24;0;766;0;0;0;0;0
907637;MIGUEL MALUHY COMENDADOR;0;0;0;0;276;256;0;0;0
910338;WALDEMAR RODRIGUES DA SILVA PASTOR;0;0;0;0;409;142;0;0;0
914824;PASQUALE FILIPPELLI PADRE;0;0;0;1215;0;0;0;0;0
923813;NAIR HIROKO KONNO HASHIMOTO PROFESSORA;0;29;0;847;0;0;0;0;0
5029;CEL JTO A EE MEXICO;0;0;0;0;0;0;0;0;0
482341;CEL JTO A EE PLINIO NEGRAO;0;0;0;0;0;0;0;0;0
5320;PRISCILIANA DUARTE DE ALMEIDA DONA;0;14;0;0;0;867;0;546;0
5373;JOSE GERALDO DE LIMA PROF EE;0;0;0;0;350;165;0;0;0
5447;MARIA AMELIA BRAZ PROFA;0;0;0;47;248;265;0;0;0
5459;HERBERT BALDUS;0;0;0;636;517;347;0;0;0
36262;FRANCISCO ROSWELL FREIRE;0;19;0;468;367;0;0;0;0
37448;LAERTE RAMOS DE CARVALHO PROF DR;0;0;0;0;290;730;0;0;0
38313;VERA ATHAYDE PEREIRA PROFA;0;0;0;0;289;77;0;0;0
39385;BENEDITO FERREIRA DE ALBUQUERQUE PROF;0;0;0;265;254;153;0;0;0
39391;REGINA MIRANDA BRANT DE CARVALHO PROFA;0;0;0;190;180;121;0;0;0
